job_subdirno,job_card_link
0,https://www.zhipin.com/job_detail/81b266306bb3ba0703R-0t26GFFV.html?lid=6HEiY9fwdJQ.search.15&securityId=rFGF9AhEksR6w-x1VfPboWLlDjQlDXeqm-rEg-KGOnkgpj4iYOq6wCrULyXOkuV_SmPGtdjbpBihXuClrjwVIc2cQ2ZYozEA151JF4D11hnKJrlGwMGzU7Q7H6IlB4OghXmbyCLSUpTiEC4h0HWJB2P9T8XShp63Mu8Dmy_5ZFumvts~&sessionId=
0,https://www.zhipin.com/job_detail/335a9c4a5e4a7c841nx709W4GVZX.html?lid=6HEiY9fwdJQ.search.16&securityId=ZH8chhBWrQbhf-N1SWj4waxLs_1Mfos9gwufVeJ_b-qlH1D9F8CclncR5jboxNTbdrg8ZQes0IynqiGNCwgwzwkoZ1UrzeD6N0fXLMtlMGlvIIiDCyQOXTIl6M1MtGPRYPwKm3Xc_AgXkA~~&sessionId=
0,https://www.zhipin.com/job_detail/9dd50ffe657a2c1f1HN50ti0F1JQ.html?lid=6HEiY9fwdJQ.search.17&securityId=869R42ZnHZuy3-k1DzFdY88CP44LolJXYz2_OFiSyWDRWDxF13gjFjuINbMEfGX7P7tlqHzdZm5K2OKl--PlEMGqtogC3dXlJMqfwhvugsEtGlFlPqGAnfqhmIfpJgdGZ0x5M4FMJxmoDrw~&sessionId=
0,https://www.zhipin.com/job_detail/8d7701e82863ea301HF62dq8FVFZ.html?lid=6HEiY9fwdJQ.search.18&securityId=KunPLGRJaUFfe-a1Q3_YuEowFiT0YeexVAfADxtjfF8hy__BpfRNAQmsekACCbfdP147HmZHbxbBsEHBTrxi8FzQOu88-QVkFQJX2nrZE5ruWmgnMBDwoEzFFQ9Qyr4SJfa_vep-fG8FNw~~&sessionId=
0,https://www.zhipin.com/job_detail/4fb453ddb533dfd31XR82t-9FFVW.html?lid=6HEiY9fwdJQ.search.19&securityId=xy45nv8SzyOTy-W12bM4qpPw-G4mQ6G8g1BUc_dsgX6tENHzzRdoU0knviks5z-Bf0Tzvc_Axx2reUc_swBuuwXeLEyDMzWa7tE8E7jR5NBrpKtK--PQBZQzksJWpbUDnRs_xIjgoHU~&sessionId=
0,https://www.zhipin.com/job_detail/039c2df68e1bf9b31Hx92NS5EFNX.html?lid=6HEiY9fwdJQ.search.20&securityId=pTJUfuRRJiJ4G-Q1Q6pyqZ_1oGcx8zWGwtT2EQHzQdCXHbje5cChkOBfi9t7EjViMaAcTenFs_YJecawJBLOrk4ZKNgyeswvzgLOGAM8afShXS45pvTW3X_TOtDmtyI5wTi3dVvuMac~&sessionId=
0,https://www.zhipin.com/job_detail/09a47385429e6e1b03R92d24FFBV.html?lid=6HEiY9fwdJQ.search.21&securityId=yYPRhhuRuMtYH-e1N8tAnQ9fSO5LZlkvu37-YwOZB-W6VdScO6YSpJpokt0FwnMrXQK-aY_LxM4K8jclHBwz7gISsjN-kYKW4Bdc6NSodTm62ui5CGdWzrwSB8RWE4ZS_8BYAUdCGJxL&sessionId=
0,https://www.zhipin.com/job_detail/fc428bd62a9440c21HJ-2d27GVdZ.html?lid=6HEiY9fwdJQ.search.22&securityId=FiZD7EiK3aRKg-r1x1Uf4bVsALmFxUXX2G54DSRJRI_wMZusrteum6--RfC122L9LQBPR2M4szl2OyTGZ5QO68U7gSUcBuoNi8McaWsHy88LrZEN9EqLBqDA9se1Y0e_tExJhDjhk03b&sessionId=
0,https://www.zhipin.com/job_detail/865a1716af4ab71803Rz2NS1GVFU.html?lid=6HEiY9fwdJQ.search.23&securityId=tzMGWztd2l5Jp-j1kpxNqwCSG3iUYTd8gghPi8SOTF90WuVYnC8NquHowCqRnkKWE76hqMeqAi6e6NaFHDwcxchdvAsMOQkvgsWIdgQjM-XT7LJ_V_7fA18KJz1HbxzsDbAu293ii1o~&sessionId=
0,https://www.zhipin.com/job_detail/eeae0478227e2f5103R83tq4FlVQ.html?lid=6HEiY9fwdJQ.search.24&securityId=8hITgzG0seaRz-w13L7eKPW1XrMatDYYmE9trrphStJn1lBwdu9hbmZUBaaAlHCon3CURp4vH8y_8WX3vVSXYEzhicJbIgJ-9OBu3ItrihPG-bWSu70IDTcUy7ridpBf9jqlUABtKH-EBto~&sessionId=
